Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132
-68.500,16,11,0,43,56,0,23,14,20,40,25,1,66,10,30,7,1,41,24,4,9,61,7,23,91,26,46,36,30,13,19,10,5,29,19,14,1,26,7,0,5,0,5,3,8,18,24,4,0,2,35,4,48,13,0,0,24,0,19,32,4,0,8,11,14,18,10,0,22,21,29,26,2,4,24,25,5,0,2,63,119,39,13,0,27,20,26,3,21,8,8,10,1,13,15,4,20,24,0,4,13,4,0,30,0,61,0,0,5,9,6,3,0,6,16,13,0,6,0,0,0,2,0,9,14,0,0,12,0,4,19,4
-67.500,24,20,0,54,60,0,17,12,22,39,29,0,53,8,32,9,3,28,28,4,16,52,14,29,97,32,45,33,32,18,23,19,24,27,12,11,2,26,8,0,7,0,16,2,2,18,40,4,0,4,35,7,48,0,0,0,20,0,23,38,3,0,8,11,16,17,18,0,38,26,27,26,1,18,20,16,8,0,1,75,98,32,14,0,23,22,41,20,38,7,10,14,0,12,33,3,28,28,0,7,14,8,0,23,0,56,0,0,7,7,5,4,0,8,17,10,0,3,1,0,0,6,0,0,28,0,0,21,0,4,18,7
-66.500,74,20,0,45,81,0,20,11,18,64,25,3,51,6,21,11,2,28,26,3,13,53,9,37,90,26,38,41,31,15,20,10,28,25,12,10,5,24,9,0,30,0,12,6,7,13,41,8,0,0,39,4,1,0,0,0,16,0,26,37,2,0,8,15,17,23,14,0,25,40,29,31,0,80,39,24,4,0,4,88,94,35,13,0,22,24,41,13,19,10,11,15,7,9,17,2,23,46,0,4,17,8,0,26,0,42,0,0,7,2,8,2,0,7,18,18,0,12,2,0,0,6,0,8,33,0,0,20,0,6,16,10
-65.500,65,23,0,43,129,0,19,13,25,104,31,1,57,4,19,14,2,18,15,3,12,54,17,63,59,21,36,33,25,25,19,14,26,20,24,20,5,29,14,0,42,0,11,4,5,20,54,7,0,2,51,3,0,0,0,0,21,0,19,73,2,0,12,17,38,9,27,0,27,52,30,24,0,104,26,18,7,0,3,15,85,40,14,0,21,20,36,18,3,13,10,14,9,16,21,6,20,51,0,10,14,29,0,28,0,40,3,0,12,6,10,6,0,6,24,16,0,19,1,0,0,4,0,2,23,0,0,19,0,4,22,5
-64.500,56,19,0,39,101,0,24,11,18,88,16,2,51,11,15,15,5,13,25,3,45,55,32,86,31,23,37,42,29,19,24,21,31,20,21,15,12,27,47,1,40,0,13,7,28,23,61,5,0,6,38,4,0,0,0,0,18,0,26,135,6,0,17,22,28,13,9,0,21,74,29,32,4,88,27,17,8,0,2,11,86,32,12,0,16,20,35,27,7,9,12,11,6,16,11,3,32,71,0,6,13,37,0,28,0,37,1,0,8,12,7,0,0,8,30,23,0,21,1,0,0,8,0,3,29,0,0,27,0,7,27,4
-63.500,60,23,0,46,77,0,25,24,19,38,23,4,54,15,15,18,3,17,18,2,44,51,37,88,29,21,44,45,28,24,22,17,35,14,29,27,32,40,30,2,34,0,17,7,36,19,51,8,0,0,35,8,0,0,0,0,18,0,21,150,2,0,23,28,25,0,16,2,21,49,38,25,7,82,37,19,4,1,4,14,86,41,11,0,20,20,37,42,5,17,12,18,4,17,14,6,20,83,0,9,14,40,0,20,0,40,8,0,16,1,11,0,0,9,55,28,0,33,2,0,4,4,1,8,25,0,0,32,0,13,22,4
-62.500,90,29,0,57,69,0,21,19,27,42,16,3,67,7,9,17,4,15,18,1,64,55,45,62,30,24,46,41,23,26,26,27,38,17,23,49,51,26,25,5,38,0,16,11,35,22,54,12,0,2,34,4,0,0,0,0,21,0,20,72,4,0,23,28,24,0,27,7,16,38,40,32,9,83,36,20,3,0,1,4,71,40,8,0,17,16,82,37,2,16,14,16,6,22,9,5,28,72,0,2,19,48,0,28,0,30,10,0,28,9,13,19,0,10,38,27,0,32,0,0,13,7,2,1,20,0,0,44,2,17,25,6
-61.500,69,33,0,45,56,0,25,19,23,27,19,3,89,26,9,29,3,14,21,1,69,49,41,51,37,30,45,40,25,39,23,26,43,13,22,33,37,35,16,5,37,0,24,11,36,31,56,13,0,4,36,4,0,0,0,0,19,0,20,58,4,0,24,34,19,0,16,18,17,38,45,32,15,86,28,20,11,1,2,6,70,47,8,0,8,18,45,34,3,21,11,25,9,27,14,10,40,64,0,4,19,56,0,27,0,43,7,0,37,10,13,10,0,10,33,25,0,32,1,0,8,8,3,10,49,0,0,39,0,24,31,2
-60.500,73,43,0,41,54,0,21,15,23,36,25,5,78,29,16,30,8,16,10,1,119,56,44,35,5,20,5,46,23,44,30,33,41,17,74,22,28,33,12,7,46,0,27,20,40,26,56,21,0,2,28,3,1,0,0,0,18,0,17,61,3,0,31,31,21,0,18,23,13,32,61,45,18,100,40,24,7,4,5,6,66,43,6,0,10,16,20,29,3,28,16,13,17,28,13,4,39,62,0,4,21,53,0,33,2,46,13,0,32,6,21,10,0,9,36,37,0,26,1,5,14,8,3,3,62,0,0,48,3,30,32,3
-59.500,78,58,0,18,41,0,25,15,28,34,19,5,52,32,1,35,5,21,14,0,116,47,50,19,0,28,4,51,24,87,30,62,40,16,84,28,18,31,16,12,52,0,22,27,40,41,68,28,0,4,29,8,3,0,0,0,22,0,19,56,8,0,23,37,12,0,42,27,10,33,138,32,27,31,46,22,2,1,2,7,82,57,5,0,13,17,9,25,0,35,17,19,6,30,8,14,28,71,0,2,22,56,0,34,6,57,17,0,15,7,20,18,0,13,38,41,0,24,2,3,22,10,6,11,83,0,1,48,3,42,46,3
