Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161,Slice162,Slice163,Slice164,Slice165,Slice166,Slice167
-38.500,25,0,10,20,37,72,0,10,42,18,2,9,28,3,5,79,56,34,0,0,4,12,3,20,7,12,67,12,0,35,0,44,58,54,9,8,18,53,18,0,28,17,40,59,2,11,1,0,73,16,76,16,18,17,88,0,13,30,16,15,0,0,5,13,0,4,56,101,13,5,13,19,5,37,0,60,5,15,42,9,35,20,6,4,6,45,51,0,15,74,38,25,1,0,15,21,15,8,8,35,16,18,20,26,5,7,32,4,0,9,16,10,0,0,23,38,56,83,0,8,46,21,8,2,42,26,1,9,2,26,15,10,76,16,42,64,34,27,2,95,14,0,20,0,39,46,20,80,7,0,15,33,39,49,69,8,17,37,15,25,0,20,28,10,9,19,25
-37.500,26,0,3,16,56,92,4,13,52,7,2,1,32,1,0,149,52,43,0,0,4,5,5,28,9,15,45,0,0,41,0,21,107,62,8,6,22,50,12,0,98,22,45,63,5,10,0,3,62,15,92,17,27,82,101,0,13,66,9,15,2,5,7,17,0,3,17,65,32,0,14,9,2,8,0,55,4,18,59,4,25,20,6,7,6,89,39,0,5,61,36,16,3,0,21,28,13,5,8,56,35,18,21,23,8,5,33,10,0,12,28,5,0,0,14,35,45,73,0,9,69,16,6,1,57,27,0,19,2,28,13,17,79,26,36,69,39,26,5,117,17,0,17,21,42,49,27,101,6,6,17,31,29,50,87,0,20,48,21,20,0,30,27,6,7,18,45
-36.500,25,0,4,16,46,70,0,10,35,17,5,68,48,8,2,94,51,40,0,0,5,8,6,36,11,11,38,0,0,33,0,18,37,80,9,8,28,54,43,0,51,16,35,56,1,8,0,0,94,19,68,13,25,142,93,0,7,22,14,13,1,6,2,12,0,3,9,47,33,60,8,6,1,4,0,53,6,20,81,7,24,17,5,4,3,92,43,0,13,26,38,14,6,0,24,22,4,17,9,40,107,15,18,14,5,7,38,7,0,8,43,8,0,0,86,40,58,81,0,7,41,11,3,3,57,32,5,12,3,16,5,13,63,14,35,64,46,26,7,93,0,0,20,26,41,50,41,86,4,6,22,50,29,52,59,0,22,72,16,17,0,18,25,5,3,21,48
-35.500,16,0,2,19,36,57,4,11,57,8,6,120,17,0,0,63,50,41,0,0,3,8,3,60,17,12,48,0,0,19,0,13,27,70,8,7,23,58,20,0,29,11,37,49,3,8,0,0,70,19,36,11,19,135,82,0,6,19,15,12,0,3,3,14,0,1,6,32,46,33,15,24,0,1,0,45,6,15,57,20,25,24,4,8,39,4,36,0,5,30,43,15,3,0,34,14,10,11,11,30,61,14,25,17,4,2,56,10,0,3,77,7,0,0,110,41,50,49,0,9,59,12,10,2,55,29,1,16,1,24,14,23,76,13,30,77,32,27,17,87,0,0,17,25,70,52,29,70,5,10,71,56,39,53,54,0,33,88,14,16,0,14,26,12,0,16,45
-34.500,21,0,2,13,36,51,0,13,45,15,10,235,18,0,1,46,46,41,0,0,5,6,5,68,6,10,46,0,2,16,0,11,30,50,7,6,4,49,20,0,51,17,30,39,4,10,0,0,63,19,37,14,20,152,102,0,5,9,18,10,0,1,5,17,0,3,5,32,41,35,7,8,0,6,0,57,6,25,43,24,21,13,2,9,51,0,39,0,3,31,32,16,13,0,55,21,3,13,13,19,42,17,27,13,7,6,33,10,0,5,94,11,0,0,64,45,56,28,0,7,37,10,3,3,65,38,0,48,3,18,3,20,63,6,35,87,36,22,29,98,10,0,16,26,45,70,22,59,2,4,59,60,22,32,41,0,26,52,10,13,0,13,44,3,3,17,67
-33.500,21,0,12,22,27,48,3,11,28,10,13,139,10,9,5,40,44,39,0,0,8,8,4,60,10,12,23,0,3,14,0,11,24,45,11,11,1,44,19,0,29,22,45,39,2,2,0,0,54,16,28,11,24,120,146,0,2,2,22,10,1,0,0,11,0,0,0,22,46,44,6,9,0,5,0,44,13,36,35,27,21,25,2,9,50,0,76,0,7,51,32,7,14,6,45,19,5,9,13,10,45,12,27,12,5,5,28,18,0,0,59,6,30,0,56,44,69,36,0,5,32,14,5,5,16,33,0,31,4,24,10,80,48,6,30,97,27,26,71,101,14,0,17,22,13,59,14,48,3,1,51,55,27,32,50,0,15,47,10,14,0,6,50,4,3,17,62
-32.500,13,0,13,13,31,43,0,10,27,10,15,94,12,0,21,35,31,38,0,0,0,7,1,80,3,10,19,0,6,13,0,7,18,46,11,8,2,38,15,0,20,27,43,35,2,7,0,0,59,18,25,13,40,112,107,0,3,8,14,9,0,0,5,9,0,2,0,15,45,23,9,14,0,2,0,42,11,19,18,25,24,20,0,7,49,0,66,0,4,58,26,9,27,34,39,16,4,11,22,13,73,16,26,12,4,3,32,8,0,4,55,11,66,0,54,47,51,18,0,6,23,12,8,6,4,20,0,31,12,23,8,85,28,9,27,93,25,28,47,105,13,0,16,18,8,77,15,90,5,2,39,49,32,30,44,0,14,37,10,9,0,12,38,2,0,12,51
-31.500,12,0,16,16,26,40,0,13,20,12,24,90,16,0,96,40,41,27,0,0,8,6,4,120,3,9,18,0,12,11,0,7,15,44,8,6,0,29,10,0,12,44,35,37,4,5,0,0,50,19,22,5,31,107,88,0,2,2,0,12,0,0,0,8,0,0,0,12,37,13,8,14,0,6,0,42,5,25,11,14,19,20,1,14,61,0,52,0,3,62,16,7,28,16,32,13,3,7,23,11,67,16,33,13,3,3,27,6,0,0,48,11,16,0,51,45,44,15,0,6,23,6,3,7,7,27,4,22,13,27,10,49,28,8,30,89,33,36,43,54,27,0,8,22,8,46,9,97,2,3,50,47,23,23,51,0,12,48,10,7,12,6,41,3,32,13,50
-30.500,15,0,13,16,29,46,3,13,19,6,27,65,9,8,51,35,38,25,0,0,5,5,5,106,5,11,23,0,11,9,0,3,13,32,11,9,0,37,5,0,6,19,34,20,1,3,0,0,56,17,18,11,18,83,81,0,2,0,2,0,0,0,5,7,0,0,0,8,77,11,5,12,0,4,0,40,6,24,5,11,24,23,1,16,65,0,28,0,3,70,11,5,19,4,30,24,3,10,16,6,41,19,43,9,6,4,30,8,0,0,34,13,18,0,53,43,30,19,0,4,30,33,9,8,3,20,0,31,11,40,12,39,31,3,19,101,21,82,49,60,50,0,15,20,5,45,13,118,3,2,45,41,30,28,48,0,12,35,11,5,29,11,40,1,21,12,38
-29.500,7,0,23,15,20,33,0,16,17,12,26,47,6,0,38,27,43,17,0,0,7,8,1,84,3,10,14,0,7,10,0,5,9,31,7,9,0,23,12,0,6,12,31,19,3,6,0,0,46,17,2,5,9,86,68,0,3,6,2,0,0,0,0,0,0,0,0,8,119,5,7,13,0,4,0,39,2,17,0,7,29,19,0,10,63,0,25,0,4,62,11,6,11,9,27,16,2,15,17,5,35,26,39,12,4,2,29,20,0,0,37,35,21,0,41,41,30,12,0,5,24,60,3,8,6,23,0,28,7,36,7,38,10,15,9,109,32,73,50,58,48,0,10,15,5,20,11,105,4,0,46,39,32,32,61,0,6,18,12,2,28,4,38,0,5,12,33
