Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123
-14.500,19,10,0,20,6,0,30,5,10,0,0,41,22,1,0,0,13,0,8,9,28,8,21,16,20,9,6,4,8,4,24,4,0,0,12,6,50,11,3,6,2,6,2,2,10,0,14,0,0,3,0,20,3,12,14,0,6,13,11,0,0,1,9,3,18,15,12,4,7,0,0,12,27,0,0,0,8,0,24,0,6,66,6,4,9,10,1,18,0,2,6,22,3,9,25,8,12,0,2,0,6,9,9,10,2,11,0,4,24,15,14,9,0,9,18,0,26,3,3,2,0,2,34
-13.500,3,17,0,6,8,0,25,8,15,2,5,33,23,0,0,0,17,0,6,7,48,8,11,17,27,22,3,3,6,13,16,2,0,5,8,5,51,9,0,13,1,3,2,0,6,0,23,0,0,6,0,21,3,18,8,0,11,16,11,0,0,0,7,3,11,12,8,3,8,0,0,12,45,0,0,0,6,0,19,0,4,50,8,3,11,15,4,20,0,3,7,18,9,15,19,6,14,0,1,0,14,15,16,8,6,16,0,2,30,15,8,0,0,6,17,0,25,4,1,0,0,0,36
-12.500,0,5,0,6,3,3,18,4,11,0,8,30,14,1,0,0,24,0,7,13,61,3,10,22,31,12,4,4,8,11,10,9,0,10,15,3,46,11,0,16,0,7,2,0,3,0,11,0,0,3,0,22,4,12,17,0,10,13,11,0,0,2,11,1,14,15,7,2,6,2,0,7,29,0,6,0,7,0,24,0,5,45,6,8,11,3,0,19,0,2,4,17,5,3,9,5,26,0,5,0,10,12,10,7,3,11,0,2,30,9,16,0,0,8,11,0,35,4,6,0,0,4,34
-11.500,0,4,0,4,3,4,25,7,7,0,0,24,21,1,0,0,19,0,9,4,41,1,10,15,11,13,6,4,10,12,13,2,0,7,14,2,52,7,0,16,0,6,2,0,6,0,19,0,0,6,0,15,7,10,12,0,6,13,11,0,0,4,9,2,11,10,15,1,8,2,0,10,20,0,0,0,9,0,19,0,7,56,9,4,13,10,1,16,0,3,8,22,8,2,9,9,47,0,1,0,13,9,12,7,3,21,0,4,25,7,6,0,0,5,10,0,26,2,2,2,0,0,44
-10.500,0,4,0,4,4,0,15,4,20,1,0,24,20,2,0,0,19,0,6,8,29,0,11,20,7,19,1,1,4,10,13,3,0,8,22,5,57,5,0,11,0,4,2,0,7,0,7,0,0,5,0,11,8,20,13,0,7,17,13,0,0,1,11,0,10,16,10,4,4,3,0,12,14,0,0,0,6,0,29,0,6,40,6,4,20,11,9,10,0,1,5,16,5,3,11,5,31,0,4,0,7,11,13,1,5,26,0,1,22,12,13,8,0,6,7,0,36,4,1,0,0,1,35
-9.500,0,5,0,4,3,0,20,3,8,3,0,26,32,0,0,0,16,0,8,6,33,0,10,24,7,14,5,6,11,9,6,2,0,7,24,1,11,7,3,8,0,3,3,0,2,0,18,0,0,5,0,21,5,11,14,0,5,11,10,0,0,2,9,0,5,14,19,2,1,2,0,8,10,0,5,0,6,0,23,0,3,8,9,3,17,3,4,10,0,3,6,17,7,2,5,8,15,0,2,0,16,9,13,1,5,28,0,3,24,8,9,0,0,11,16,0,33,4,3,0,0,1,31
-8.500,0,5,0,5,4,0,13,9,13,0,0,22,15,0,0,0,20,0,9,4,28,0,7,26,9,17,5,2,8,12,15,2,0,10,31,6,3,11,0,9,0,8,2,0,6,0,7,0,0,2,0,14,4,19,8,0,2,15,14,0,0,6,12,0,14,14,24,3,4,3,0,11,7,0,0,0,6,0,23,0,8,9,10,4,22,6,0,9,0,2,7,13,10,2,7,13,5,0,2,0,6,9,11,1,3,32,0,3,16,6,9,0,0,6,13,0,50,3,3,0,0,1,34
-7.500,0,1,0,3,1,7,22,3,17,1,0,30,14,0,0,0,17,0,4,2,28,0,10,24,8,18,2,8,8,8,7,3,0,12,40,5,2,1,0,13,0,7,0,0,4,0,19,0,0,2,0,13,3,10,18,0,1,15,10,0,0,0,8,0,12,21,31,3,9,4,0,9,7,0,0,0,3,0,23,0,7,4,10,3,27,8,1,5,0,2,5,17,13,1,6,11,0,0,2,0,17,13,16,1,5,57,0,2,10,8,7,0,0,6,47,0,24,1,1,0,0,3,23
-6.500,0,2,0,4,1,0,13,5,8,1,0,21,11,1,0,0,20,0,12,2,23,0,12,31,7,12,4,5,10,6,9,2,0,12,32,2,2,9,0,8,0,4,0,0,5,0,12,0,0,8,0,12,4,17,9,0,0,13,10,0,0,0,10,0,10,22,35,3,4,6,0,6,3,0,5,0,5,0,26,0,7,7,12,4,21,5,2,6,0,1,6,14,14,1,9,11,0,0,0,0,5,9,8,0,5,44,0,3,18,7,10,1,0,7,35,0,11,7,0,0,1,0,22
-5.500,0,6,0,2,5,0,20,6,19,1,0,21,5,0,0,0,42,0,25,3,22,0,12,12,7,21,5,11,9,5,10,3,0,13,3,2,10,1,0,7,0,7,0,0,3,0,16,0,0,4,0,21,3,11,20,0,0,12,10,0,0,1,10,0,10,15,26,3,8,8,0,10,4,0,0,1,3,0,24,0,9,5,11,4,21,4,6,8,0,3,4,13,13,4,6,9,0,0,0,0,6,10,13,0,3,45,0,1,23,1,10,5,0,2,28,0,20,3,0,2,1,1,20
