Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161
-37.500,85,2,26,11,20,77,0,42,53,13,29,11,25,15,100,8,13,2,16,21,38,0,2,26,31,9,26,1,61,63,35,7,23,5,28,9,73,0,26,0,1,0,1,21,17,73,11,27,8,10,20,31,21,4,48,25,32,0,11,27,39,5,3,24,58,0,99,26,3,57,0,60,45,7,21,186,56,1,3,6,20,10,22,7,0,18,26,13,5,102,2,10,66,16,23,13,0,2,78,17,70,71,49,20,27,9,5,87,16,43,29,35,27,76,99,4,15,23,25,29,13,6,9,8,46,5,11,19,9,58,27,25,10,9,11,78,24,8,126,4,12,6,0,19,24,13,75,12,69,15,3,2,31,5,55,11,34,8,2,33,6
-36.500,90,0,26,11,26,13,0,51,41,36,30,16,24,21,71,9,16,4,11,24,34,0,0,23,21,8,20,8,79,43,41,6,21,5,25,8,52,0,26,0,4,0,2,17,24,36,5,29,9,6,9,28,17,17,37,29,31,0,17,6,23,3,6,23,48,0,85,19,2,81,2,51,47,9,21,156,48,1,0,6,22,18,27,9,0,15,25,9,11,82,18,0,75,26,24,13,0,18,86,11,60,54,60,15,64,7,1,69,11,46,38,43,21,129,70,5,18,20,20,21,18,6,4,13,48,11,15,28,18,47,24,60,9,5,105,84,26,8,90,1,10,4,0,21,24,17,85,13,52,18,0,2,35,10,60,11,28,6,1,36,11
-35.500,84,0,21,28,15,10,0,44,37,37,27,26,26,21,35,12,12,16,10,19,38,0,1,22,15,12,23,2,79,49,50,4,25,4,18,7,37,0,21,0,0,0,1,17,35,39,9,17,9,14,8,42,13,14,37,27,28,0,11,0,18,4,0,26,47,0,94,21,2,90,0,46,51,10,19,156,15,1,3,5,18,16,15,13,0,22,23,12,14,99,21,6,76,15,21,13,5,7,83,14,61,42,24,16,46,5,3,72,17,40,38,56,22,133,67,6,30,18,18,40,15,3,2,10,48,8,20,12,19,43,27,85,8,4,90,76,34,5,85,2,15,6,0,17,25,17,89,12,65,22,4,5,40,10,61,14,33,9,5,34,11
-34.500,45,4,10,26,40,14,0,46,33,39,32,14,26,20,30,21,17,46,7,22,43,0,1,25,14,7,24,10,62,35,49,2,15,7,13,6,37,0,25,0,2,0,4,20,60,30,7,25,13,11,9,55,14,15,37,26,25,0,6,0,20,4,6,22,43,0,87,20,3,51,0,37,39,12,29,246,19,2,0,2,54,12,12,20,0,21,20,13,16,62,36,3,28,22,17,8,0,16,78,14,33,25,13,17,32,5,5,67,13,46,26,46,17,155,57,5,41,22,20,39,16,3,1,12,56,8,30,15,21,41,37,106,9,9,118,79,28,7,77,0,16,2,0,20,10,14,54,13,63,25,20,2,35,19,49,15,45,14,1,24,11
-33.500,36,0,10,47,87,13,0,45,27,44,31,12,40,12,20,16,13,28,8,25,29,0,0,26,10,13,51,6,58,58,29,5,13,1,23,9,31,0,27,0,1,0,8,10,49,27,7,17,15,5,6,96,11,10,35,31,22,0,9,0,8,5,0,20,37,0,91,11,14,52,42,39,49,11,23,177,15,0,2,8,55,14,14,14,0,35,14,10,21,33,47,3,23,22,19,3,6,11,62,15,38,21,15,16,30,6,1,69,14,51,37,35,13,194,66,6,15,19,20,49,17,2,4,11,53,9,25,12,23,26,33,106,10,3,80,81,40,11,117,0,11,5,0,17,6,13,38,13,61,33,50,3,33,19,47,15,19,14,3,5,11
-32.500,33,2,9,66,62,15,0,47,26,49,40,9,57,14,13,12,17,22,5,30,34,0,0,19,12,15,48,7,32,35,28,2,17,8,22,13,28,0,48,0,0,0,12,6,47,26,8,13,30,13,8,83,9,14,43,23,20,0,9,0,9,5,5,19,40,3,81,18,13,51,32,80,42,5,28,96,18,1,0,3,29,18,9,20,0,32,10,8,25,28,56,3,20,26,25,5,38,12,49,14,29,12,9,15,28,4,3,76,20,61,38,33,8,135,74,10,0,19,16,42,14,2,3,14,47,8,24,6,30,20,30,82,10,8,72,86,40,7,43,0,15,3,0,18,11,6,41,11,41,38,49,4,24,29,77,24,16,15,3,5,15
-31.500,27,3,6,70,48,19,0,58,27,69,40,10,34,20,20,9,12,20,6,35,25,0,0,25,14,14,46,11,35,34,24,0,13,1,22,19,7,0,3,0,0,0,15,3,37,27,4,20,85,11,11,57,7,12,44,24,18,0,10,0,7,3,0,23,35,2,51,14,24,25,19,63,43,10,28,78,20,0,0,3,21,11,19,13,0,29,3,8,39,11,47,2,27,43,24,5,29,14,64,10,41,13,10,17,28,4,4,60,12,86,35,33,11,95,92,10,0,19,4,44,9,1,1,12,61,10,27,7,31,13,33,72,11,7,55,94,54,9,30,0,17,2,2,15,7,8,35,14,35,29,4,3,32,40,76,40,15,30,4,3,27
-30.500,36,0,9,66,42,21,0,84,19,58,15,7,16,12,12,9,17,25,3,22,27,0,0,22,13,19,78,13,14,32,19,0,13,7,17,16,3,0,3,0,0,0,20,3,17,17,10,8,2,10,9,38,7,15,47,37,17,0,10,5,9,5,4,23,35,4,51,7,30,21,18,43,44,4,26,59,12,3,2,5,18,17,15,12,0,0,0,10,68,15,52,3,21,14,34,1,29,14,47,12,21,4,8,10,32,3,0,57,10,113,59,33,6,89,58,13,0,19,2,30,14,1,6,18,45,11,22,6,26,20,38,58,20,8,57,117,49,11,20,0,12,5,6,19,11,7,41,14,29,27,0,4,32,41,92,84,15,37,25,6,18
-29.500,41,5,6,74,48,27,0,121,25,59,8,5,24,12,12,8,19,36,6,15,26,0,0,17,14,27,40,20,16,30,22,0,10,2,21,5,1,0,1,0,0,0,74,8,19,24,22,14,0,10,10,34,4,10,27,22,17,0,7,12,9,6,1,28,33,3,38,14,34,23,19,29,41,4,33,46,15,0,0,2,9,6,11,7,0,0,0,14,45,6,51,4,27,13,21,1,25,14,49,10,27,9,10,17,35,4,0,12,10,63,44,32,10,72,54,17,0,16,0,43,10,0,2,17,44,8,20,4,36,14,40,31,39,9,41,95,86,6,17,0,14,0,7,16,9,6,34,13,28,27,2,4,24,31,69,53,16,41,29,6,9
-28.500,40,0,7,108,56,24,0,62,24,64,7,12,58,13,9,10,37,15,1,24,24,0,0,14,13,53,17,30,21,26,15,1,13,5,18,7,5,0,3,0,0,0,75,3,13,14,77,7,0,8,16,20,7,12,26,35,15,0,10,10,6,4,3,21,36,7,32,0,35,18,20,21,50,0,40,36,15,0,0,4,7,21,14,7,0,0,0,4,31,3,40,3,40,12,18,1,26,15,85,11,21,7,7,11,39,4,5,43,11,50,46,30,10,88,44,14,0,7,0,34,7,0,8,26,31,10,15,6,31,13,56,23,47,8,59,106,57,9,16,0,14,7,6,108,10,6,39,19,25,27,3,4,31,32,42,46,13,26,23,9,7
-27.500,34,6,6,76,52,28,0,22,25,75,9,0,44,13,7,8,48,13,4,14,16,0,0,10,10,33,11,47,9,28,16,3,10,4,16,5,1,0,4,0,0,0,14,3,11,19,127,7,0,14,10,20,5,17,22,21,14,0,40,9,14,3,1,11,32,6,28,13,39,15,27,16,34,0,39,31,19,0,0,2,5,12,7,11,0,0,0,9,17,3,49,4,41,12,16,2,26,22,49,6,17,7,8,14,30,2,4,30,7,45,49,31,5,111,39,11,0,10,0,60,10,0,3,26,39,13,15,3,43,15,127,25,54,9,60,102,68,12,17,0,17,0,8,80,13,6,38,23,26,37,4,3,24,36,46,37,12,36,22,9,6
