Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131
78.500,21,0,0,0,4,0,0,0,23,0,0,4,0,13,3,0,2,1,29,16,6,10,37,10,1,46,38,7,17,10,22,5,2,6,7,0,7,12,0,16,5,70,37,33,26,20,7,27,13,3,30,20,3,8,11,21,5,3,5,1,10,5,40,35,0,0,12,9,0,3,0,17,0,16,26,17,17,20,40,38,6,0,25,49,51,31,2,5,11,8,0,0,25,0,0,0,8,2,20,9,0,7,12,0,1,0,8,0,21,0,2,0,13,11,7,2,20,2,0,1,1,0,0,16,6,2,12,7,3,7,6
79.500,20,0,0,0,2,0,0,0,29,0,0,1,0,10,3,0,5,1,63,31,9,11,22,9,1,40,8,10,0,15,20,7,2,6,8,0,8,14,0,16,5,64,30,30,24,15,6,25,14,5,26,15,3,4,6,12,0,1,4,2,12,4,41,41,0,0,11,8,3,3,0,23,8,17,24,28,11,27,33,38,6,0,36,50,52,28,1,4,5,8,0,0,26,0,0,4,5,1,9,9,0,7,5,0,2,0,3,0,10,0,1,0,17,15,11,0,28,3,0,5,2,0,0,26,7,2,10,8,4,4,5
80.500,19,0,0,0,0,0,0,0,26,0,0,1,0,14,3,0,3,2,65,17,9,9,37,12,2,48,11,7,0,18,21,6,2,0,9,0,10,12,0,17,1,52,29,17,22,13,4,39,12,4,28,14,3,2,12,18,2,1,6,1,10,7,45,74,0,0,11,4,1,5,0,19,8,14,33,19,18,19,31,29,8,1,31,47,39,36,3,1,6,7,0,0,21,0,0,0,6,2,3,10,0,7,3,0,1,0,7,0,3,0,0,0,13,7,6,0,29,1,0,3,1,0,0,16,7,3,10,4,8,8,6
81.500,16,0,0,0,0,0,0,0,35,0,0,0,0,10,17,0,2,1,33,14,8,10,29,4,4,51,4,10,0,16,26,10,3,4,9,0,9,11,0,18,5,49,21,18,21,11,7,38,13,4,23,18,4,6,11,17,5,3,10,1,8,5,66,33,0,0,8,9,1,3,0,23,9,20,28,17,12,20,33,35,4,0,34,44,52,28,6,3,5,6,0,0,20,0,0,0,7,1,2,10,0,9,2,0,2,0,6,0,0,0,0,0,10,6,3,0,28,2,0,1,3,0,0,22,6,1,8,9,3,4,3
82.500,20,0,0,0,0,0,1,0,25,0,0,0,0,11,11,0,1,0,25,11,10,12,36,18,1,44,8,6,0,9,23,8,1,0,12,1,13,10,0,17,2,47,24,18,12,11,15,25,18,7,26,17,4,3,8,19,0,2,6,1,14,12,70,2,0,0,7,16,2,2,0,32,16,17,32,24,12,20,42,29,5,1,30,59,41,31,3,4,3,6,0,0,24,0,0,1,7,0,1,10,0,5,7,0,0,0,5,0,0,0,0,0,11,8,0,0,30,2,0,3,3,0,0,20,5,3,12,6,8,7,1
83.500,21,0,0,0,0,0,6,0,40,0,0,0,0,9,8,0,2,0,17,11,8,8,43,6,2,54,7,9,0,23,23,10,2,0,8,26,9,12,0,23,6,39,19,15,20,3,12,29,23,3,14,14,2,3,12,15,2,2,6,2,12,7,42,0,0,0,4,14,3,4,0,43,21,28,32,18,13,20,39,34,8,1,40,92,44,38,2,0,4,6,0,0,26,0,0,4,7,2,0,7,0,8,9,0,4,0,4,0,0,0,0,0,13,7,0,0,21,1,0,3,3,0,0,9,4,2,10,7,9,9,5
84.500,15,0,0,0,0,0,11,0,46,0,0,0,0,13,7,0,1,0,24,7,17,8,38,22,2,61,4,8,0,12,24,10,1,0,9,25,14,14,0,28,5,36,25,16,21,1,13,16,22,13,22,17,3,5,9,9,5,2,13,0,17,10,5,0,0,0,2,35,0,3,0,40,27,26,33,27,16,19,49,29,6,2,52,67,47,50,3,2,3,7,0,0,34,0,0,0,3,1,0,10,0,5,3,0,14,27,6,0,0,0,0,0,13,6,0,2,14,0,0,2,1,0,0,13,4,4,12,7,4,8,1
85.500,13,0,0,0,0,0,20,0,78,0,0,0,0,10,1,0,1,1,13,10,18,11,54,21,2,53,5,7,0,13,26,21,3,0,11,37,11,13,0,6,7,38,23,13,10,4,12,11,22,15,16,18,5,2,6,10,0,1,8,1,31,11,5,0,0,0,0,25,0,2,0,33,31,15,52,24,15,22,53,32,7,3,39,69,45,56,5,5,3,6,0,0,23,0,0,2,8,0,0,10,0,6,0,0,14,58,8,0,0,0,0,0,10,4,0,6,15,0,0,1,6,0,0,18,3,2,13,6,9,7,1
86.500,12,0,0,0,0,0,13,0,49,0,2,0,0,12,7,0,1,7,13,9,29,10,62,16,1,43,4,11,0,25,25,24,2,0,6,22,14,13,0,2,8,31,17,17,19,1,12,18,22,18,20,16,1,3,11,9,1,1,6,2,8,8,7,0,0,0,0,13,0,3,0,23,32,24,60,26,13,23,54,32,10,1,35,52,48,51,0,1,1,4,0,0,18,0,0,4,7,2,0,9,0,6,3,0,11,73,3,0,0,0,0,0,12,2,0,6,12,0,0,4,5,0,0,10,2,3,10,9,6,5,5
87.500,11,0,0,0,0,0,4,0,33,0,0,0,0,12,0,16,0,35,17,3,32,4,50,23,4,31,7,10,0,14,31,44,1,0,17,17,13,20,16,0,5,29,25,14,12,2,16,9,27,27,13,15,4,2,8,9,6,1,9,1,3,4,4,0,0,0,0,20,0,3,0,31,25,31,62,23,11,22,53,29,9,6,37,61,56,52,0,0,4,7,0,0,19,0,0,0,8,1,0,13,0,5,3,0,14,45,7,0,0,0,0,0,12,5,0,5,6,0,0,2,1,0,0,10,0,4,9,6,9,8,3
88.500,6,0,0,0,0,0,11,0,44,0,0,0,0,12,8,52,0,32,11,3,26,14,28,10,1,42,10,11,0,20,26,15,3,0,9,14,12,19,13,0,8,32,24,17,19,0,10,10,22,11,16,20,4,3,7,2,0,0,13,0,2,6,2,0,0,0,0,13,0,3,0,20,28,26,55,27,10,19,58,35,9,11,35,60,47,42,3,2,1,6,0,0,18,0,0,5,5,1,0,13,0,7,2,0,13,31,6,0,0,0,0,0,15,6,0,3,0,0,0,1,7,0,0,9,0,2,7,11,10,8,0
89.500,12,0,0,0,0,0,9,0,42,0,0,0,0,13,0,40,0,30,10,7,21,8,27,18,1,48,4,12,0,28,26,14,2,0,11,13,4,14,13,0,7,31,19,16,17,1,11,4,26,15,14,20,1,1,7,7,0,4,7,2,0,3,4,0,0,0,0,15,0,2,0,25,28,32,51,27,11,20,70,28,10,33,29,73,57,32,13,2,3,6,0,0,10,0,0,1,8,2,0,24,0,5,8,0,10,20,5,0,0,0,0,0,13,3,0,6,0,0,0,1,5,0,0,14,0,4,14,7,10,5,0
