Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118
41.500,9,24,19,26,0,4,30,0,10,68,79,11,10,9,0,6,11,14,0,47,2,16,12,11,24,18,50,20,22,0,24,2,97,53,68,2,57,7,11,7,67,52,0,6,12,0,0,0,10,11,6,11,95,3,6,16,4,24,1,2,0,32,1,0,3,0,0,2,8,7,0,5,0,0,0,3,4,6,23,3,24,8,68,56,0,34,12,0,2,32,13,24,7,1,23,32,51,23,7,0,9,5,127,28,2,0,37,11,0,10,0,8,30,0,32,0,43,2
42.500,10,21,16,21,0,7,11,0,15,53,71,15,9,14,0,6,3,4,0,59,6,11,8,6,21,21,65,22,30,0,38,6,96,39,57,4,55,6,5,4,62,58,0,12,8,0,0,5,10,8,8,7,52,4,8,20,3,24,3,5,0,32,1,0,6,0,0,5,4,12,0,5,6,0,0,1,6,6,21,4,15,7,80,47,0,28,4,0,1,26,9,41,14,5,36,23,54,1,4,0,9,1,104,38,5,0,29,8,0,5,0,16,31,4,36,0,32,12
43.500,9,12,14,27,0,5,8,0,1,52,49,18,15,12,0,6,1,0,0,60,7,7,5,14,29,23,26,21,49,0,118,2,78,45,66,2,55,4,0,5,62,42,0,4,8,0,0,1,12,14,4,15,38,5,11,21,7,13,3,2,0,34,3,0,5,0,0,4,2,8,0,5,7,0,0,4,25,9,19,2,20,8,127,53,0,37,0,0,3,22,11,50,7,4,22,27,48,3,9,0,5,6,47,75,3,0,25,9,0,23,0,6,22,0,48,0,27,9
44.500,2,11,14,39,0,4,2,2,0,50,32,30,16,5,0,6,0,0,0,57,13,8,8,11,23,22,16,17,21,0,128,5,85,55,81,6,54,4,0,3,70,56,0,9,12,0,5,3,16,13,10,8,17,7,16,22,5,10,3,1,0,25,2,0,2,0,0,4,1,8,0,6,7,0,28,3,33,2,21,3,22,10,74,43,0,31,0,0,2,27,9,76,8,1,29,24,43,3,17,0,9,3,38,61,7,0,20,11,0,23,0,10,29,6,61,0,23,15
45.500,6,2,14,61,0,6,6,2,2,43,26,53,16,5,0,7,0,0,0,54,19,10,5,22,30,22,19,16,14,0,79,4,86,54,74,4,63,4,0,5,76,53,0,8,6,0,1,2,23,11,5,8,11,7,10,23,6,11,4,1,0,22,0,0,5,0,0,2,5,25,0,5,7,0,30,15,22,9,20,4,28,9,59,33,0,37,0,0,2,20,12,52,11,0,36,18,38,1,27,0,13,3,37,87,7,0,20,9,0,22,0,10,28,0,16,0,24,8
46.500,5,4,12,27,0,4,3,3,5,39,23,97,21,5,0,7,0,0,0,52,21,11,4,45,27,21,21,14,13,0,53,1,91,70,73,4,87,2,0,4,95,66,0,5,13,0,0,1,19,21,9,6,13,6,3,26,8,14,4,4,2,22,3,0,2,0,0,7,2,23,0,8,4,0,38,29,21,3,11,3,37,8,50,17,0,36,0,2,9,29,9,24,7,2,39,17,30,5,28,0,9,4,21,83,7,0,19,13,0,26,0,7,26,5,12,0,24,2
47.500,2,4,11,23,0,4,6,9,5,45,18,56,20,2,0,8,0,0,0,55,33,11,3,48,16,26,17,20,17,0,30,6,85,108,64,5,126,3,0,3,82,55,0,6,7,0,0,4,16,25,7,4,13,9,2,24,9,16,5,1,2,20,2,0,3,0,0,4,0,22,0,11,8,0,48,40,19,8,14,3,43,9,42,22,0,35,0,2,59,22,8,14,10,1,48,23,33,3,24,0,10,1,13,42,8,0,25,15,0,21,0,10,25,4,11,0,15,5
48.500,6,3,11,14,0,4,3,11,8,42,17,41,58,3,0,8,0,0,0,54,35,10,3,72,15,25,23,0,18,0,20,3,89,95,52,6,49,2,0,4,72,83,0,7,6,0,0,1,14,28,6,3,15,8,0,35,5,15,6,1,1,23,1,0,5,0,0,3,0,24,0,46,7,0,63,47,21,1,12,3,81,14,36,14,3,46,0,4,41,29,12,12,6,3,67,20,22,5,28,0,12,2,9,28,15,0,16,12,0,24,0,10,30,3,8,0,24,3
49.500,1,6,12,15,0,7,5,15,6,41,13,29,68,1,0,6,0,0,0,55,38,8,1,44,13,30,22,0,19,0,16,5,167,64,39,5,42,5,0,4,56,59,0,8,15,1,0,4,20,37,10,5,29,8,2,37,11,10,4,1,5,21,3,0,2,0,0,4,4,25,0,45,5,0,39,45,24,10,10,4,54,13,32,12,1,48,0,3,33,30,13,4,12,3,80,46,23,3,11,0,14,4,7,18,18,0,11,20,0,21,0,5,20,6,9,0,21,6
50.500,2,7,11,12,0,5,3,14,7,41,9,13,63,3,0,9,0,0,0,75,38,3,0,26,8,40,23,0,18,0,17,3,36,77,28,5,53,0,0,4,61,61,0,6,8,0,0,1,13,58,8,3,28,7,4,40,10,16,3,0,3,23,2,0,5,0,0,7,2,18,0,56,7,0,24,52,41,2,11,4,40,9,33,14,4,43,0,5,29,36,6,9,8,6,55,42,29,6,31,0,16,1,7,12,7,0,10,10,0,27,0,15,14,5,1,0,22,4
