Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136
-32.500,5,52,22,58,43,16,72,12,6,0,0,0,0,16,22,44,9,30,0,58,15,22,4,15,13,8,37,5,69,9,3,27,12,12,52,0,30,18,19,23,5,4,6,0,65,0,4,0,0,0,4,4,17,0,0,5,0,0,5,9,0,0,4,17,0,31,2,8,0,19,0,0,12,10,5,21,10,0,0,0,4,1,29,0,20,33,24,30,10,43,0,33,78,17,4,0,22,27,78,82,83,45,36,5,14,0,21,2,11,13,35,10,27,104,40,42,27,37,7,6,15,10,20,0,7,3,30,31,4,18,32,14,11,7,12,8
-31.500,4,45,25,55,25,16,64,9,2,5,0,0,0,16,18,40,18,39,0,38,14,33,2,21,13,8,38,13,73,1,3,42,9,15,46,0,31,19,21,21,3,0,5,0,57,0,3,0,0,0,2,2,33,0,0,1,0,0,6,10,0,0,3,17,0,29,2,4,0,15,0,0,11,6,9,29,9,0,0,0,3,3,55,0,20,30,18,23,9,35,0,46,43,18,0,0,17,28,88,105,86,44,35,2,15,0,16,6,4,10,27,14,38,115,26,36,14,42,3,5,9,7,26,0,2,0,19,33,7,19,50,13,11,5,10,0
-30.500,7,45,22,53,17,24,66,9,6,2,11,0,0,8,12,28,10,53,0,35,16,47,3,13,11,7,36,13,82,2,0,51,15,17,44,0,33,13,22,20,4,1,8,0,79,0,6,0,0,0,4,4,64,0,0,0,0,0,3,9,0,0,1,14,0,30,0,0,0,16,0,0,17,10,7,14,8,0,0,0,5,0,88,0,9,27,24,22,6,36,0,48,29,22,1,0,21,31,58,113,72,16,34,6,33,0,19,3,9,10,32,22,59,33,28,45,22,111,11,8,12,11,31,0,5,3,3,26,7,12,55,7,8,3,15,0
-29.500,9,55,25,59,22,13,59,12,1,0,30,0,0,18,13,22,12,39,0,44,16,36,7,21,13,6,32,16,87,9,0,72,12,31,39,0,25,0,17,21,3,2,5,0,56,0,8,0,0,0,5,1,2,0,0,2,0,0,6,6,0,0,0,8,0,25,0,5,0,12,0,0,13,8,15,4,15,0,0,0,2,0,29,0,9,30,23,19,8,31,0,46,30,8,0,0,21,28,27,99,65,4,28,3,32,0,18,1,6,13,22,7,93,26,24,39,19,69,13,15,11,12,23,0,0,3,5,27,6,11,29,12,4,3,14,5
-28.500,14,71,18,45,19,30,57,7,7,0,16,0,4,10,12,20,10,37,0,12,23,28,6,10,13,5,28,17,117,7,0,35,11,17,33,0,32,1,24,21,2,4,11,0,48,0,16,0,0,0,1,4,0,0,0,1,0,0,1,8,0,0,0,0,0,25,0,4,0,11,0,0,13,9,2,0,9,0,0,0,5,0,17,0,9,21,23,14,8,31,0,56,29,11,1,0,22,24,21,96,65,6,25,5,24,0,25,6,13,11,18,5,41,28,19,50,29,56,8,5,9,13,25,0,2,3,2,21,5,12,22,2,7,1,15,1
-27.500,15,116,23,53,12,64,68,10,6,0,16,0,1,10,13,16,8,51,0,5,11,18,10,6,4,2,20,13,83,9,0,36,65,22,20,0,31,1,18,22,0,0,3,0,29,0,9,0,0,0,3,0,0,0,0,5,0,0,4,8,0,0,0,0,0,21,0,0,0,15,0,0,17,10,0,5,18,0,0,0,3,0,13,0,8,27,23,21,8,39,0,26,20,8,1,0,20,36,21,91,64,7,12,8,25,0,40,2,19,44,13,5,31,18,24,45,14,45,8,3,8,26,23,0,0,2,8,30,9,9,20,7,10,2,11,0
-26.500,11,57,20,39,11,49,74,10,6,0,15,0,4,11,11,18,12,86,0,7,23,7,7,17,17,4,17,11,57,5,0,12,50,17,27,0,30,1,14,20,0,0,6,0,17,0,5,0,0,0,3,2,0,0,0,0,0,0,4,4,0,0,0,0,0,21,0,3,0,10,0,0,12,10,0,0,18,0,0,0,5,0,9,0,1,24,22,14,11,32,0,34,29,12,2,0,24,50,18,81,64,5,19,6,25,0,103,1,15,119,9,4,40,23,17,61,8,55,15,0,7,20,16,0,0,3,2,23,8,17,16,3,3,1,11,3
-25.500,8,54,11,49,21,48,73,9,1,0,12,0,6,8,12,18,11,19,0,8,19,6,9,5,5,2,13,15,52,1,0,3,38,22,18,0,22,1,19,20,0,0,4,0,18,0,4,0,0,0,1,2,0,0,0,1,0,0,2,7,0,0,0,0,0,19,0,5,0,16,0,0,12,0,0,5,9,0,0,0,6,0,6,0,5,26,30,4,7,35,0,31,28,2,0,0,27,58,18,84,62,3,25,8,28,0,55,5,12,133,2,3,26,22,13,57,12,51,14,0,8,19,23,0,0,5,6,36,10,12,17,5,3,0,10,29
-24.500,6,63,9,51,14,52,98,14,7,0,15,0,0,13,10,10,24,9,0,3,23,5,9,2,10,4,15,12,40,2,0,0,34,19,26,0,24,0,19,22,0,1,8,0,11,0,2,0,0,0,3,0,0,0,0,1,0,0,3,5,0,1,0,0,0,16,0,3,0,10,0,0,9,0,0,0,11,0,0,0,10,0,7,0,10,22,30,7,7,30,0,16,27,4,0,0,28,46,17,79,67,6,12,7,19,0,34,2,8,60,4,4,34,17,8,113,7,47,8,0,8,15,17,0,0,4,3,32,16,6,16,2,6,0,10,23
-23.500,7,65,8,34,10,64,128,13,7,0,7,0,5,9,12,14,20,12,0,8,23,7,7,14,0,5,9,12,41,3,0,0,31,13,16,0,27,0,19,23,0,4,5,0,20,0,4,0,0,0,0,0,0,0,0,2,0,0,3,6,0,2,0,0,0,16,0,1,0,17,0,0,8,0,0,4,9,0,0,0,11,0,3,0,2,34,11,24,9,30,0,18,28,2,0,0,42,33,13,106,57,4,16,10,18,0,22,1,10,40,3,1,32,23,14,90,7,34,8,0,5,16,21,0,0,5,5,31,8,10,28,3,10,0,13,16
