Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161,Slice162,Slice163
-79.500,0,10,6,13,5,0,7,18,0,5,0,8,20,9,9,8,1,0,1,5,4,13,6,0,2,0,0,0,0,0,0,0,15,3,7,14,0,31,8,2,0,13,3,7,5,1,10,0,0,0,10,0,14,7,0,3,8,9,13,1,0,4,4,0,15,0,11,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,3,0,12,1,10,11,0,0,0,39,9,1,2,13,0,0,28,10,12,6,0,7,0,3,0,0,4,0,2,7,4,0,4,0,0,0,0,1,1,0,0,0,0,2,0,1,0,7,0,0,0,0,0,0,48,25,1,1,2,10,0,0,0,26,0,2,0,4,0,5,0,0,5,0,2,0,0,3,18,0
-78.500,0,9,10,16,4,0,12,14,0,11,0,7,18,7,10,10,0,0,1,3,2,9,4,0,1,0,2,0,0,0,0,0,7,2,7,12,0,35,16,3,0,15,6,5,2,0,10,0,0,0,14,2,15,6,0,5,10,10,10,3,0,8,1,0,18,0,15,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,6,2,11,0,12,8,0,0,0,91,10,1,2,5,0,0,23,7,12,7,0,6,0,4,0,0,0,0,5,7,1,2,4,0,0,0,0,1,4,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,37,30,3,2,9,13,0,0,0,25,0,2,0,26,0,7,0,0,19,0,1,0,0,5,15,0
-77.500,1,10,2,15,6,0,10,12,0,7,0,7,16,8,8,9,3,0,1,4,1,8,4,0,0,0,3,0,0,0,0,0,11,4,7,20,0,35,17,5,0,17,7,3,5,2,12,0,0,0,10,1,13,9,0,5,7,8,15,3,0,8,3,0,23,0,13,4,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,3,0,14,2,10,13,0,0,0,55,6,2,0,10,0,0,22,9,24,9,0,2,0,2,0,0,4,0,33,3,4,0,5,0,0,0,0,6,5,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,42,41,3,1,5,10,0,0,0,20,0,0,0,24,0,4,0,1,5,0,3,0,0,3,20,0
-76.500,0,8,7,19,5,0,7,9,0,15,0,6,16,10,9,11,2,0,1,5,0,14,0,0,1,0,1,2,0,0,0,0,9,3,9,28,0,37,12,3,0,18,5,7,3,0,18,0,0,0,15,3,14,2,0,2,9,0,20,4,0,10,3,0,25,0,11,2,2,0,0,4,7,0,0,0,0,0,0,0,0,0,0,7,0,7,2,2,12,0,0,0,38,6,0,0,5,0,0,13,7,21,8,0,6,0,5,0,0,0,0,47,16,6,4,3,0,1,0,0,1,7,0,0,0,2,3,0,1,0,7,0,0,0,0,2,0,37,81,3,2,2,5,0,0,0,19,0,5,0,22,2,7,0,0,8,0,3,0,0,4,6,0
-75.500,1,6,7,23,4,3,9,7,0,19,0,9,12,10,11,8,1,0,2,7,0,9,1,0,0,0,7,2,0,0,0,0,12,4,10,30,0,37,16,3,0,17,3,3,5,2,23,0,0,0,17,0,17,3,0,8,6,0,24,2,0,7,1,0,16,0,14,2,3,0,1,3,11,0,4,0,0,0,0,0,0,0,0,2,3,9,2,11,14,0,0,0,39,5,1,0,8,0,0,0,11,16,13,0,6,0,5,0,0,1,1,63,4,2,0,7,0,0,0,0,1,4,0,0,0,0,2,0,1,0,12,0,0,0,0,1,0,36,55,4,2,9,3,0,0,0,13,0,2,0,16,5,5,0,0,8,0,3,0,0,2,16,0
-74.500,1,6,2,26,8,2,8,9,0,23,0,7,18,12,10,12,4,0,2,5,0,8,0,0,2,0,6,1,0,0,0,0,19,3,9,21,0,29,11,5,0,18,7,4,11,3,42,0,0,0,17,2,14,2,0,3,11,0,33,5,0,13,3,0,0,0,13,1,4,2,1,1,6,0,8,0,0,0,0,0,0,0,0,0,0,4,1,13,16,0,0,0,31,6,3,0,4,0,0,0,6,11,6,0,3,0,2,0,0,3,3,56,5,3,7,4,0,1,0,0,2,0,0,0,0,0,6,0,2,0,8,0,2,0,0,5,0,42,50,2,2,3,5,0,0,0,17,0,2,0,15,19,5,0,1,7,0,11,0,0,3,3,0
-73.500,2,6,9,29,3,6,10,7,0,34,0,8,6,8,13,9,2,0,1,7,0,8,0,0,2,0,9,0,0,0,0,0,15,3,19,16,0,34,16,2,0,15,9,2,10,1,35,0,0,0,17,0,13,6,0,2,5,0,76,3,0,16,3,0,0,0,14,0,2,2,1,2,8,0,14,0,0,0,0,0,0,0,0,9,0,5,3,4,16,0,0,0,27,7,0,0,1,0,0,0,10,8,13,0,7,0,2,0,14,0,3,34,13,6,4,7,0,3,0,0,3,0,0,0,0,0,4,0,1,0,13,0,1,0,0,5,0,32,47,2,2,6,5,0,0,0,16,0,5,0,11,13,5,0,3,17,0,5,0,0,3,12,0
-72.500,1,4,2,34,8,7,6,7,0,69,0,9,10,9,11,14,3,0,5,8,0,14,0,0,0,0,10,2,0,0,0,0,24,5,19,19,0,35,13,5,0,19,15,3,20,2,19,0,0,0,25,3,14,8,0,11,8,0,76,1,0,25,1,0,0,0,12,0,5,2,0,5,14,0,22,0,0,0,0,0,1,1,0,0,2,10,0,11,19,0,0,0,24,4,1,0,4,0,0,0,6,14,9,0,3,0,1,0,8,3,7,30,5,7,4,4,0,2,0,0,3,0,0,0,0,0,6,0,1,0,19,0,2,0,0,8,0,32,50,5,0,7,8,2,0,0,14,0,3,0,14,11,4,0,0,11,0,2,0,0,1,13,0
-71.500,1,6,3,50,8,9,8,4,0,106,0,12,7,6,11,11,2,0,4,11,0,11,0,0,1,0,11,1,0,0,0,0,24,2,16,14,0,37,18,4,0,22,12,1,22,2,12,0,0,0,0,1,17,9,0,3,8,0,0,6,0,13,2,0,0,0,15,0,9,3,3,0,7,0,2,0,0,0,0,0,2,1,0,0,1,4,1,5,14,0,0,0,21,12,3,0,0,0,0,0,8,7,12,0,6,0,3,0,7,1,4,25,10,8,6,7,0,5,0,0,3,0,1,0,0,0,5,0,0,0,20,0,2,0,0,15,0,31,44,3,4,6,2,1,0,0,11,0,2,0,10,5,4,0,2,5,0,7,0,0,5,8,0
-70.500,1,6,7,40,10,10,7,9,0,16,0,8,6,9,12,15,9,0,14,11,0,11,0,0,3,0,15,1,0,0,0,0,32,4,10,16,0,66,16,14,0,16,13,0,26,1,13,0,0,0,0,5,12,15,0,2,6,0,0,7,0,17,3,0,0,0,14,4,8,4,1,1,11,0,0,0,0,0,0,0,1,3,2,2,0,2,4,13,24,0,0,0,15,10,0,0,2,0,0,1,6,15,14,0,5,0,0,0,5,0,8,21,10,11,7,4,0,2,0,0,2,0,1,0,0,0,6,0,1,0,21,0,3,0,0,24,0,23,45,5,2,4,10,2,0,0,17,0,6,0,9,8,8,0,4,8,0,3,0,0,1,7,0
